"Name","State","Runtime","activation","autoaugment","batch_norm","batch_size","epochs","lr","optimizer","seed","use_cutout","weight_decay","epoch","epoch_time_sec","train_acc","train_loss","val_acc","val_loss"
"jolly-sweep-111","finished","1602","GELU","true","true","128","50","0.0001","Nadam","42","false","0","50","31.704630136489868","61.214","1.1101718552582098","70.79","1.0067824543535708"
"gallant-sweep-110","finished","2573","GELU","true","true","128","80","0.0001","Nadam","42","false","0","80","31.363964557647705","64.444","1.0210647486969635","75.72","1.0056508083969355"
"ethereal-sweep-109","finished","2492","GELU","false","false","256","80","0.0001","Nadam","42","true","0","80","30.572468280792236","62.244","1.0826377287811162","72.92","1.0031308489561082"
"icy-sweep-108","finished","1599","GELU","true","true","128","50","0.0001","Nadam","42","true","0","50","32.12640404701233","61.214","1.1101718552582098","70.79","1.0067824543535708"
"devout-sweep-107","finished","2550","GELU","false","false","128","80","0.0001","RMSprop","42","true","0","80","32.642398834228516","64.56","1.0174763798713684","74.24","1.00619315508008"
"good-sweep-106","finished","2550","GELU","false","true","256","80","0.0001","Nadam","42","true","0.0005","80","31.05064487457275","62.39","1.0777494743162273","73.36","1.003102607756853"
"mild-sweep-105","finished","1609","GELU","false","true","128","50","0.001","Nadam","42","true","0.0005","50","30.87785816192627","69.168","0.8885008201879614","77.43","1.0055209213882683"
"polished-sweep-104","finished","1036","GELU","false","true","64","30","0.0001","Nadam","42","false","0.0005","30","32.133601903915405","59.762","1.156175060726493","68.2","1.0145134767949582"
"spring-sweep-103","finished","2655","GELU","true","true","64","80","0.001","Nadam","42","false","0","80","33.554280042648315","75.902","0.6964108041485252","85.7","1.0069845319673418"
"smooth-sweep-102","finished","1677","GELU","true","true","64","50","0.0001","Nadam","42","true","0","50","32.67251372337341","63.28","1.057028894991521","73.67","1.012176105451584"
"misunderstood-sweep-101","finished","971","GELU","false","true","128","30","0.001","Nadam","42","true","0","30","33.32763123512268","70.268","0.8570082219665313","79.03","1.0050335084617137"
"spring-sweep-100","finished","1672","GELU","true","true","64","50","0.001","Nadam","42","true","0","50","32.43294811248779","73.542","0.763814241189481","83.78","1.007914994226396"
"earthy-sweep-99","finished","1039","SiLU","false","true","64","30","0.0001","Nadam","42","false","0.0005","30","32.35031056404114","58.126","1.1988192597008729","66.33","1.0152392599642277"
"desert-sweep-98","finished","1710","GELU","false","true","64","50","0.0001","Nadam","42","true","0","50","34.65496253967285","63.28","1.057028894991521","73.67","1.012176105451584"
